Region,Time Frame,Total Households,Piped water inside dwelling Households,,Piped water inside yard Households,Distance Below 200m Households,Distance greater than 200m Households,Borehole Households,Spring Households,Rain-water tank Households,Dam/pool/stagnant water Households,River/stream Households,Water vendor Households,Other Water Households
Eastern Cape,April 2024,1 871 169,951 293,,336 490,184 386,8 501,35 194,13 282,184 292,29 447,122 108,5 435,588
Free State,April 2024,849 197,416 296,,364 609,23 334,8 066,26 512,1 289,884,2 776,1 070,2 809,1 564
Gauteng,April 2024,5 599 783,4 205 184,,1 073 619,174 549,26 101,69 072,5 282,5 224,827,2 930,13 916,23 132
KwaZulu-Natal,April 2024,2 912 226,1 534 159,,751 244,207 775,38 035,110 430,30 728,62 503,33 892,100 593,25 447,17 576
Limpopo,April 2024,1 897 352,607 056,,562 197,150 223,11 693,285 357,10 494,32 344,41 216,42 336,153 809,682
Mpumalanga,April 2024,1 491 045,702 421,,477 467,66 090,21 915,79 498,7 752,12 774,12 378,21 467,43 681,45 641
North West,April 2024,1 154 367,503 046,,361 455,100 389,15 877,121 058,1 283,5 077,861,734,44 456,158
Northern Cape,April 2024,339 528,185 511,,90 415,30 096,10 624,12 586,279,276,1 775,3 177,2 049,2 759
Western Cape,April 2024,2 397 488,2 057 036,,174 377,106 795,8 711,31 709,2 171,3 386,6 050,3 219,3 556,509
Provincial,April 2024,18 512 155,11 162 002,,4 191 873,1 043 637,149 523,771 416,72 560,306 760,129 222,297 634,295 158,92 609
"<b>Subject Area: Access to Basic Services</b><br />Access to Basic Services focuses on the status of people/households with access to RDP level and above Water Supply infrastructure, progress made since 1994 and the remaining challenges to ensure that all citizens have access to basic water supply infrastructure by the end of 2014. This theme focusses primarily on access to infrastructure and, in some cases such as Access to and above RDP level services, also presents the results of Census 2011 and considers the functionality/reliability of the infrastructure.<br /><br /><b>Data Topic : DWS Access to Infrastructure Data</b><br />DWS Access to Infrastructure Data<br /><br /><b>Data Topic Detail:</b> Water Service Levels - Households<br />",,,,<b>Data Source:</b> Census 2011 Modelled and Updated <br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2025<br /><b>Level Of Confidence:</b> 95 Percent,,,,,,,,,,
