Year,Service Type,Service Level,Coverage,ISO3,Residence Type,Population
2015,Sanitation,At least basic,65.70465133742249,ZAF,rural,13108604.893119514
2015,Sanitation,Basic service,14.30022430419922,ZAF,total,8111593.024275438
2015,Sanitation,Basic service,16.89274215698242,ZAF,urban,6211923.47654785
2015,Drinking water,Basic service,22.96766662597656,ZAF,total,13028072.876622465
2015,Drinking water,Basic service,35.37923049926758,ZAF,rural,7058440.226032486
2015,Drinking water,Basic service,16.23385620117188,ZAF,urban,5969633.083476564
2015,Sanitation,Limited service,14.84543071098819,ZAF,total,8420853.382156748
2015,Sanitation,Limited service,6.781557131614642,ZAF,rural,1352975.0358453167
2015,Sanitation,Limited service,19.22043206492354,ZAF,urban,7067878.741293682
2015,Drinking water,Limited service,2.206966447630933,ZAF,total,1251869.429499518
2015,Drinking water,Limited service,5.253599519676996,ZAF,rural,1048135.2380437085
2015,Drinking water,Limited service,0.5540361872642311,ZAF,urban,203734.26448714134
2015,Sanitation,Open defecation,3.335112338587532,ZAF,total,1891793.681370264
2015,Sanitation,Open defecation,7.237447090079969,ZAF,rural,1443928.7387966162
2015,Sanitation,Open defecation,1.217926918930772,ZAF,urban,447865.05057134683
2015,Drinking water,Surface water,3.390205972709823,ZAF,total,1923044.7393062664
2015,Drinking water,Surface water,9.48372950674866,ZAF,rural,1892080.0961070016
2015,Drinking water,Surface water,0.084205755455785,ZAF,urban,30964.760150561415
2015,Sanitation,Safely managed service,57.32825210625234,ZAF,total,32518612.29494333
2015,Sanitation,Safely managed service,57.94966881156363,ZAF,urban,21309678.724950634
2015,Drinking water,Safely managed service,69.30901510818005,ZAF,total,39314524.8292241
2015,Drinking water,Safely managed service,44.58673591795545,ZAF,rural,8895411.401254175
2015,Drinking water,Safely managed service,82.72192560162522,ZAF,urban,30419115.315602053
2015,Sanitation,Unimproved,10.19098063748982,ZAF,total,5780684.672569374
2015,Sanitation,Unimproved,20.27634444088289,ZAF,rural,4045293.3322385526
2015,Sanitation,Unimproved,4.719229541109627,ZAF,urban,1735389.8203862545
2015,Drinking water,Unimproved,2.126146245479758,ZAF,total,1206025.3522288215
2015,Drinking water,Unimproved,5.29670504344108,ZAF,rural,1056735.135740944
2015,Drinking water,Unimproved,0.4059758944468531,ZAF,urban,149288.44388857996
2024,Sanitation,At least basic,79.25423908454702,ZAF,rural,15574637.283191068
2024,Sanitation,Basic service,3.603883981704712,ZAF,total,2306744.7594327806
2024,Sanitation,Basic service,1.749145269393921,ZAF,urban,775845.6282565594
2024,Drinking water,Basic service,22.18411636352539,ZAF,total,14199428.845099296
2024,Drinking water,Basic service,22.14348030090332,ZAF,rural,4351523.37411438
2024,Drinking water,Basic service,22.20211982727051,ZAF,urban,9847905.664224626
2024,Sanitation,Limited service,14.81804372729746,ZAF,total,9484612.958273055
2024,Sanitation,Limited service,3.896831904891684,ZAF,rural,765785.4541699606
2024,Sanitation,Limited service,19.65661171578969,ZAF,urban,8718827.722820528
2024,Drinking water,Limited service,7.456721196118429,ZAF,total,4772837.480068159
2024,Drinking water,Limited service,20.015453208157,ZAF,rural,3933334.3853465873
2024,Drinking water,Limited service,1.892661922010817,ZAF,urban,839503.4441413519
2024,Sanitation,Open defecation,0.276784679881834,ZAF,total,177162.08763931683
2024,Sanitation,Open defecation,0,ZAF,rural,0
2024,Sanitation,Open defecation,0.399412230580793,ZAF,urban,177162.0907597248
2024,Drinking water,Surface water,1.224975688164592,ZAF,total,784072.4794280472
2024,Drinking water,Surface water,3.870406144125582,ZAF,rural,760592.3989641016
2024,Drinking water,Surface water,0.052936027581261,ZAF,urban,23480.145585861388
2024,Sanitation,Safely managed service,73.78063708225359,ZAF,total,47224910.3470294
2024,Sanitation,Safely managed service,74.80701270616728,ZAF,urban,33181174.134909444
2024,Drinking water,Safely managed service,68.00756387556561,ZAF,total,43529728.58397773
2024,Drinking water,Safely managed service,50.82957746227545,ZAF,rural,9988768.315449765
2024,Drinking water,Safely managed service,75.61815439526778,ZAF,urban,33540961.709101792
2024,Sanitation,Unimproved,7.520650525207722,ZAF,total,4813756.845286189
2024,Sanitation,Unimproved,16.84892901056128,ZAF,rural,3311065.262638969
2024,Sanitation,Unimproved,3.387818110598147,ZAF,urban,1502690.437682582
2024,Drinking water,Unimproved,1.126622979243094,ZAF,total,721119.6771090983
2024,Drinking water,Unimproved,3.141083110575664,ZAF,rural,617269.5705448033
2024,Drinking water,Unimproved,0.234127085771171,ZAF,urban,103848.7077834033
