Province,Total_Piped_Water_Percent,Water_Need_Level,Water_Need_Score
Eastern Cape,68.8223778824895,Medium Need,31.177622117510495
Free State,91.95804978114619,Low Need,8.041950218853813
Gauteng,94.26799217041089,Low Need,5.732007829589108
KwaZulu-Natal,78.47615535332766,Low Need,21.523844646672345
Limpopo,61.62551809047557,Medium Need,38.37448190952443
Mpumalanga,79.13161574600363,Low Need,20.868384253996368
North West,74.88961482786671,Medium Need,25.11038517213329
Northern Cape,81.26752432789048,Low Need,18.732475672109516
Western Cape,93.0729580294041,Low Need,6.927041970595894
Provincial,82.9394254747759,Low Need,17.060574525224098
"<B>Subject Area: Access To Basic Services</B><Br />Access To Basic Services Focuses On The Status Of People/Households With Access To Rdp Level And Above Water Supply Infrastructure, Progress Made Since 1994 And The Remaining Challenges To Ensure That All Citizens Have Access To Basic Water Supply Infrastructure By The End Of 2014. This Theme Focusses Primarily On Access To Infrastructure And, In Some Cases Such As Access To And Above Rdp Level Services, Also Presents The Results Of Census 2011 And Considers The Functionality/Reliability Of The Infrastructure.<Br /><Br /><B>Data Topic : Dws Access To Infrastructure Data</B><Br />Dws Access To Infrastructure Data<Br /><Br /><B>Data Topic Detail:</B> Water Service Levels - Households<Br />",0.0,Critical Need,100.0
